study_hours,attendance,previous_score,marks
1,57.8,81,55.0
7,90.3,51,46.0
5,84.5,79,64.0
6,81.4,58,45.0
7,81.1,86,78.0
5,82.3,40,24.0
7,90.9,42,36.0
9,90.6,66,65.0
3,70.3,57,35.0
8,90.9,89,87.0
2,65.9,69,45.0
7,82.7,41,35.0
2,61.9,44,18.0
4,64.4,68,46.0
7,81.4,72,63.0
3,69.8,81,62.0
2,59.5,59,35.0
7,88.9,69,63.0
1,69.2,81,58.0
8,84.4,44,37.0
3,69.2,89,74.0
2,68.7,60,40.0
3,73.4,97,78.0
5,68.7,54,38.0
8,91.0,59,55.0
7,85.5,47,39.0
7,79.9,88,84.0
7,83.1,70,60.0
8,82.1,51,47.0
1,59.9,60,34.0
4,76.0,69,54.0
6,79.1,66,56.0
9,89.7,83,82.0
2,62.7,65,45.0
1,61.1,72,45.0
2,63.4,65,43.0
7,89.1,65,57.0
3,68.7,75,56.0
2,63.7,79,56.0
7,78.7,40,30.0
2,66.6,98,75.0
3,70.7,54,33.0
7,79.6,89,80.0
4,69.6,40,27.0
1,63.0,50,26.0
5,76.3,94,81.0
9,91.4,41,41.0
8,85.7,40,34.0
9,88.5,70,68.0
9,90.6,83,83.0
7,82.1,55,44.0
4,67.4,93,75.0
5,82.1,61,52.0
1,65.2,81,56.0
1,68.1,57,37.0
3,63.6,86,67.0
8,91.4,56,50.0
2,58.1,69,46.0
4,75.9,49,31.0
2,64.7,74,51.0
5,76.2,97,82.0
9,85.6,60,58.0
1,57.9,55,31.0
5,78.5,45,29.0
9,90.1,42,40.0
1,62.3,80,51.0
9,95.0,82,79.0
8,82.2,60,52.0
4,66.4,52,36.0
5,73.6,57,43.0
5,82.7,97,81.0
6,72.6,93,81.0
7,83.3,99,84.0
8,93.4,63,55.0
8,84.5,66,64.0
2,65.6,93,68.0
9,98.8,43,41.0
7,81.6,61,53.0
4,77.7,63,50.0
4,68.8,79,65.0
8,87.5,84,78.0
4,66.4,49,31.0
6,80.2,41,30.0
5,76.2,79,64.0
3,68.2,45,26.0
2,63.5,87,66.0
9,88.1,57,55.0
9,88.2,56,52.0
1,60.8,77,57.0
3,65.7,84,68.0
8,85.0,62,57.0
6,82.0,85,75.0
5,72.5,69,54.0
5,76.7,97,82.0
6,85.1,60,51.0
7,82.9,49,43.0
1,59.3,95,68.0
9,86.7,82,77.0
3,66.3,52,33.0
4,72.2,51,37.0
1,57.8,48,23.0
3,73.3,43,26.0
2,61.9,78,56.0
2,70.2,63,42.0
1,57.8,93,65.0
8,85.0,73,66.0
3,72.0,78,57.0
3,76.1,80,59.0
6,76.8,44,28.0
8,81.7,54,46.0
9,90.7,89,84.0
9,97.5,43,42.0
4,68.8,90,73.0
5,86.4,91,77.0
2,64.0,97,74.0
9,88.9,78,75.0
8,84.1,97,94.0
3,73.2,47,27.0
9,85.7,88,89.0
3,73.8,84,62.0
9,90.1,63,59.0
2,68.2,92,73.0
9,85.5,67,57.0
8,83.9,94,90.0
9,91.0,82,80.0
5,68.4,66,50.0
2,64.1,40,18.0
8,92.8,73,68.0
6,89.1,56,39.0
8,85.0,76,67.0
5,80.8,77,69.0
2,66.4,65,43.0
6,84.7,96,84.0
5,83.3,63,50.0
5,71.9,78,65.0
1,62.5,99,74.0
2,68.2,60,35.0
8,84.1,69,61.0
3,68.0,86,64.0
3,73.4,90,66.0
8,88.3,87,81.0
8,85.5,96,93.0
2,62.3,52,28.0
8,85.1,76,71.0
1,68.3,42,13.0
6,86.0,71,59.0
8,88.6,74,67.0
3,66.0,58,35.0
8,87.5,53,46.0
1,62.5,87,59.0
9,88.9,61,57.0
9,88.4,56,51.0
5,75.5,98,80.0
4,67.4,43,22.0
6,78.5,84,71.0
7,76.5,79,73.0
5,74.4,58,40.0
9,86.3,76,75.0
3,69.9,41,24.0
7,82.6,54,45.0
5,75.3,41,25.0
7,84.1,50,42.0
2,56.9,84,63.0
4,70.0,62,44.0
2,64.6,49,26.0
7,79.1,42,31.0
2,72.4,44,26.0
1,68.5,42,15.0
9,95.3,77,77.0
1,65.5,52,31.0
8,95.0,81,75.0
2,66.6,58,34.0
8,88.4,79,74.0
3,64.3,89,68.0
6,84.1,74,64.0
3,72.7,63,43.0
7,80.0,63,54.0
9,89.9,56,53.0
2,67.2,79,56.0
5,76.3,49,34.0
6,86.3,41,27.0
4,81.2,83,66.0
4,66.1,62,41.0
4,65.1,45,25.0
2,65.6,41,20.0
4,66.5,60,45.0
1,65.4,94,70.0
6,75.9,95,86.0
1,55.1,74,46.0
6,81.1,88,73.0
1,69.5,68,42.0
6,75.5,46,27.0
8,83.9,68,64.0
2,66.7,92,71.0
2,70.6,76,56.0
4,68.3,62,43.0
3,67.8,72,50.0
4,73.8,47,31.0
7,82.3,51,42.0
1,67.6,85,60.0
6,73.2,87,76.0
3,70.8,49,28.0
7,84.5,54,45.0
2,71.6,92,71.0
2,66.6,63,44.0
4,71.4,65,48.0
1,60.1,86,57.0
3,68.9,81,61.0
9,93.5,92,86.0
7,83.1,99,95.0
7,79.0,78,70.0
4,80.5,97,81.0
2,68.8,42,18.0
4,70.8,41,24.0
6,87.0,45,32.0
3,64.3,60,40.0
1,71.6,48,25.0
8,85.9,49,41.0
5,76.9,75,66.0
5,87.0,98,83.0
4,71.0,42,22.0
6,85.0,80,70.0
3,69.2,63,42.0
9,88.9,61,56.0
5,76.4,88,72.0
3,70.7,53,31.0
1,63.9,81,60.0
6,86.4,84,74.0
2,60.7,83,62.0
3,74.4,66,44.0
1,61.0,72,46.0
9,92.8,99,96.0
8,84.4,61,51.0
2,65.4,68,43.0
8,85.4,58,51.0
9,88.6,58,58.0
1,64.1,45,23.0
5,77.4,84,67.0
8,91.1,58,50.0
2,75.2,52,31.0
4,80.5,98,83.0
7,81.3,65,55.0
3,69.4,61,44.0
5,76.3,60,45.0
8,90.6,75,73.0
3,65.1,95,76.0
4,75.4,41,23.0
9,97.9,86,84.0
7,86.7,83,73.0
1,64.1,69,48.0
4,82.6,66,50.0
4,72.0,46,30.0
9,91.1,59,51.0
6,75.2,89,76.0
9,91.4,70,66.0
6,87.4,62,50.0
6,78.7,52,40.0
5,79.9,56,42.0
5,81.6,43,29.0
2,69.5,96,77.0
8,79.1,53,45.0
8,83.0,59,49.0
1,60.2,99,74.0
8,90.1,52,45.0
5,72.8,42,27.0
2,61.0,65,44.0
2,69.7,65,42.0
6,79.3,57,43.0
9,91.9,71,68.0
1,63.1,53,29.0
6,74.4,86,73.0
9,91.2,42,39.0
8,87.0,40,30.0
6,84.3,65,53.0
3,72.0,63,38.0
8,84.3,88,82.0
9,97.2,74,72.0
1,65.9,53,24.0
9,98.5,42,44.0
6,81.1,52,45.0
6,73.3,86,75.0
4,78.4,89,75.0
1,56.4,53,26.0
8,82.3,60,49.0
2,63.4,65,42.0
1,68.7,42,14.0
2,62.8,90,64.0
1,62.6,79,54.0
1,66.8,43,16.0
9,93.5,75,73.0
1,69.5,90,67.0
4,72.3,82,69.0
6,79.7,40,28.0
7,82.8,79,67.0
2,67.3,86,62.0
6,84.4,72,60.0
7,87.0,46,43.0
2,65.7,92,70.0
2,64.7,91,70.0
7,81.0,91,84.0
1,60.2,95,72.0
8,85.5,50,44.0
3,75.7,66,46.0
6,85.6,53,41.0
9,96.2,61,58.0
6,71.4,55,44.0
9,93.0,85,89.0
7,84.1,51,45.0
9,88.7,88,87.0
2,62.4,85,61.0
8,88.4,49,41.0
8,79.3,63,57.0
2,64.7,85,62.0
4,76.9,57,39.0
7,88.5,61,54.0
4,72.3,48,33.0
4,68.1,56,42.0
6,81.6,77,70.0
6,77.2,79,67.0
3,71.3,97,80.0
9,84.9,52,44.0
2,72.3,89,69.0
6,85.6,76,66.0
7,78.5,45,35.0
9,87.5,60,61.0
3,61.5,90,68.0
3,69.9,75,55.0
7,78.9,46,36.0
4,86.0,75,56.0
8,87.8,64,58.0
7,86.7,50,40.0
5,78.5,83,68.0
7,84.4,53,43.0
3,77.9,84,61.0
2,68.6,68,45.0
6,80.3,49,36.0
2,67.9,89,67.0
3,72.9,87,67.0
6,73.3,44,29.0
5,78.1,47,31.0
8,87.2,85,74.0
9,86.7,44,37.0
3,63.6,97,79.0
3,76.0,99,76.0
3,69.0,63,45.0
6,85.3,79,65.0
1,68.3,96,72.0
7,80.5,65,62.0
1,60.0,45,19.0
5,75.1,55,39.0
8,77.2,99,93.0
4,75.9,75,62.0
5,71.3,51,37.0
4,78.4,50,34.0
4,70.2,42,23.0
8,87.5,83,79.0
2,76.1,76,51.0
1,67.6,45,18.0
3,72.3,58,41.0
9,93.2,57,57.0
4,69.9,55,36.0
5,79.4,62,47.0
2,69.4,82,65.0
4,77.3,76,57.0
2,67.4,48,22.0
2,61.3,42,20.0
4,65.0,47,27.0
6,85.4,77,64.0
7,75.3,43,32.0
3,66.0,51,29.0
3,70.1,83,62.0
6,80.3,70,56.0
3,69.1,64,43.0
2,69.9,92,70.0
8,83.4,55,49.0
5,71.5,81,68.0
1,57.5,93,66.0
3,68.3,53,31.0
8,87.0,52,44.0
4,82.2,80,65.0
7,79.2,46,36.0
2,59.9,51,27.0
7,88.6,76,71.0
5,78.7,89,76.0
5,82.6,43,31.0
6,81.7,41,26.0
9,97.6,74,69.0
6,76.9,97,90.0
8,86.6,83,79.0
7,82.4,42,33.0
9,87.0,43,40.0
4,75.4,77,58.0
2,72.8,51,28.0
7,86.6,58,50.0
6,78.1,49,37.0
1,69.5,40,15.0
9,92.0,56,50.0
9,86.0,55,55.0
2,66.1,48,25.0
3,66.6,96,79.0
5,74.3,92,79.0
5,73.9,48,36.0
1,64.2,98,69.0
8,86.3,94,83.0
8,83.2,48,44.0
4,63.6,51,36.0
7,77.9,94,84.0
3,77.4,80,58.0
6,80.1,54,44.0
9,88.1,41,36.0
1,63.2,50,23.0
5,78.6,50,33.0
4,78.2,47,31.0
8,82.4,94,90.0
1,68.5,71,45.0
9,92.8,45,40.0
6,80.3,92,81.0
4,71.2,59,47.0
9,96.2,78,75.0
5,74.2,74,61.0
5,77.4,47,37.0
5,75.2,89,75.0
1,66.0,88,63.0
1,66.6,82,61.0
8,87.2,73,70.0
8,89.2,96,91.0
6,85.3,92,80.0
4,71.8,98,83.0
2,55.1,95,72.0
2,73.0,58,35.0
9,89.9,46,41.0
5,69.0,70,57.0
4,69.7,57,43.0
1,69.1,79,55.0
7,93.4,53,42.0
3,75.1,78,59.0
6,77.3,99,90.0
5,75.6,92,79.0
5,81.3,99,89.0
5,77.5,98,87.0
1,61.5,75,50.0
1,62.4,56,33.0
3,71.0,76,58.0
4,68.7,83,68.0
5,79.9,48,33.0
2,72.6,97,73.0
8,90.9,59,50.0
2,61.9,84,59.0
9,89.2,96,93.0
2,66.5,67,47.0
9,94.8,89,89.0
7,78.9,59,47.0
8,99.0,80,77.0
2,65.9,75,53.0
7,77.2,92,87.0
6,77.1,66,53.0
4,78.4,47,28.0
7,85.3,71,66.0
4,64.0,40,23.0
2,64.4,56,28.0
7,78.6,96,89.0
8,88.4,48,38.0
2,67.1,59,37.0
5,73.7,84,66.0
1,68.8,71,44.0
7,79.6,41,33.0
8,90.9,71,67.0
6,80.9,84,76.0
5,76.9,48,33.0
6,80.8,69,59.0
2,69.2,59,39.0
1,67.3,77,55.0
7,84.9,99,96.0
7,84.4,40,30.0
2,69.6,99,80.0
2,73.4,96,75.0
1,61.8,44,19.0
8,88.4,74,71.0
8,88.1,75,67.0
1,63.6,40,16.0
8,88.6,53,45.0
9,90.7,48,44.0
4,69.6,69,50.0
1,64.4,63,37.0
1,61.3,43,15.0
3,78.6,89,71.0
5,82.8,53,42.0
5,80.1,64,49.0
9,91.5,43,41.0
2,67.8,64,40.0
2,65.1,49,25.0
6,82.7,74,62.0
9,93.0,94,93.0
1,64.4,46,19.0
9,99.0,81,77.0
9,88.6,52,52.0
9,97.3,43,41.0
5,82.3,89,69.0
9,90.2,82,82.0
4,64.2,96,82.0
2,59.8,75,49.0
6,88.9,95,82.0
4,77.2,53,40.0
6,78.7,57,48.0
3,65.7,47,28.0
6,87.5,71,60.0
2,72.2,66,43.0
2,63.2,81,59.0
9,86.1,76,71.0
7,83.8,62,52.0
3,63.3,46,27.0
1,73.2,51,28.0
8,87.4,64,62.0
6,85.3,42,27.0
7,82.9,65,55.0
9,98.0,43,39.0
5,71.5,81,66.0
1,64.0,75,46.0
7,81.6,54,47.0
5,71.2,71,59.0
3,76.0,68,46.0
9,89.2,49,47.0
1,68.6,60,39.0
1,65.8,93,67.0
1,61.2,55,26.0
3,75.8,86,68.0
6,74.2,58,49.0
3,75.6,68,45.0
8,89.1,91,88.0
2,64.3,90,67.0
9,88.7,57,54.0
3,75.4,97,75.0
5,77.5,83,67.0
8,84.2,96,91.0
2,68.5,55,30.0
6,78.8,40,29.0
5,77.8,87,75.0
9,88.3,41,41.0
5,77.6,95,84.0
2,70.2,54,31.0
5,85.0,78,64.0
4,72.9,67,48.0
7,80.9,40,29.0
6,83.7,44,33.0
2,71.8,81,59.0
5,71.3,61,45.0
7,85.4,92,86.0
7,82.8,75,65.0
5,76.9,85,73.0
9,87.4,52,50.0
4,77.5,40,20.0
3,66.7,55,36.0
4,69.2,94,78.0
5,76.0,80,65.0
6,80.0,61,48.0
3,68.2,71,49.0
2,60.4,55,32.0
4,73.2,90,69.0
5,76.4,54,41.0
4,70.5,97,77.0
3,66.8,85,60.0
8,87.7,91,88.0
4,76.0,81,61.0
2,61.2,92,69.0
2,65.2,51,29.0
1,62.8,99,73.0
4,75.0,40,22.0
9,87.7,92,93.0
7,82.8,56,46.0
7,84.9,80,74.0
7,83.0,94,83.0
8,87.4,90,84.0
1,63.5,96,71.0
8,80.7,89,82.0
4,68.5,67,49.0
4,75.6,46,27.0
4,76.8,48,29.0
6,76.9,61,50.0
7,77.8,65,53.0
6,77.4,92,80.0
1,66.3,51,21.0
8,84.4,46,39.0
7,82.4,85,74.0
6,77.9,86,76.0
6,86.5,54,43.0
5,78.9,77,61.0
6,86.9,60,48.0
9,82.4,53,48.0
9,92.6,41,40.0
8,88.6,47,40.0
9,82.8,84,80.0
8,87.6,94,90.0
8,90.2,45,36.0
1,62.4,76,48.0
5,82.3,76,60.0
4,73.2,96,76.0
2,75.6,72,47.0
8,96.6,80,73.0
3,69.4,45,22.0
4,76.3,91,74.0
7,82.4,65,58.0
9,85.4,78,76.0
2,62.5,80,59.0
3,79.3,76,55.0
4,72.3,53,33.0
1,58.7,76,50.0
7,85.5,47,37.0
2,70.7,78,58.0
5,85.6,52,36.0
1,56.5,52,25.0
3,68.9,79,62.0
2,59.4,82,57.0
1,61.0,67,39.0
7,78.7,97,84.0
5,72.7,57,45.0
1,64.8,96,72.0
6,81.8,58,45.0
5,74.1,77,63.0
3,70.3,71,50.0
7,83.8,61,53.0
9,92.8,41,36.0
9,94.1,99,97.0
9,85.1,52,49.0
2,65.2,62,40.0
3,63.9,64,43.0
7,84.8,67,60.0
5,81.2,97,85.0
2,61.6,50,26.0
3,68.7,72,53.0
6,81.2,63,53.0
7,89.2,41,34.0
9,85.6,69,63.0
1,58.3,56,31.0
7,87.4,79,71.0
8,88.2,73,67.0
3,72.7,77,57.0
4,74.0,61,46.0
6,88.5,44,34.0
7,87.0,87,76.0
4,74.0,79,65.0
8,79.3,90,84.0
5,76.3,55,38.0
1,53.6,52,27.0
4,73.6,65,49.0
3,73.2,70,52.0
9,81.4,91,86.0
8,84.4,78,74.0
1,60.2,87,64.0
6,77.7,62,53.0
9,93.2,87,87.0
7,81.0,51,43.0
4,68.6,53,37.0
1,55.7,95,68.0
2,57.4,57,32.0
5,72.8,66,49.0
5,71.0,67,56.0
8,84.3,57,52.0
6,75.7,55,41.0
8,91.9,91,87.0
2,65.4,55,34.0
3,70.8,52,32.0
6,78.8,97,89.0
3,70.8,68,46.0
6,80.6,48,36.0
6,80.3,65,51.0
2,62.5,67,46.0
7,83.9,80,72.0
2,69.3,52,27.0
6,77.9,75,59.0
1,70.1,48,25.0
3,65.9,86,67.0
2,62.1,53,24.0
7,87.2,90,82.0
4,72.7,51,35.0
8,85.3,92,88.0
6,82.7,97,87.0
4,77.7,96,79.0
5,79.1,71,58.0
9,79.4,77,76.0
7,78.9,42,34.0
9,85.3,97,95.0
7,79.9,96,93.0
1,58.6,93,67.0
8,87.7,91,85.0
4,71.3,55,36.0
3,72.4,59,38.0
7,84.1,71,66.0
3,73.1,95,78.0
8,93.7,62,58.0
6,78.1,56,48.0
5,83.3,55,41.0
4,79.1,77,61.0
8,81.9,47,42.0
8,87.0,58,50.0
1,57.6,69,40.0
9,95.9,96,94.0
5,78.0,97,84.0
4,71.3,73,59.0
6,79.7,53,39.0
6,78.5,61,49.0
2,57.5,83,59.0
8,88.9,56,49.0
7,73.3,99,89.0
1,67.0,98,73.0
5,85.0,54,40.0
6,76.2,89,79.0
4,77.1,87,74.0
2,67.2,71,49.0
4,68.8,52,35.0
1,66.3,60,39.0
7,89.6,88,83.0
2,75.6,79,56.0
2,74.7,72,46.0
9,93.3,96,95.0
5,81.0,97,86.0
2,59.9,66,39.0
9,87.0,74,70.0
9,95.7,55,51.0
1,71.0,67,41.0
3,61.3,73,53.0
4,76.6,86,71.0
7,78.3,40,31.0
4,79.2,80,63.0
2,64.8,87,61.0
7,86.3,70,65.0
6,74.7,75,63.0
3,66.1,83,63.0
6,81.1,72,58.0
6,83.9,72,62.0
5,74.8,78,61.0
4,75.8,57,40.0
1,65.8,62,39.0
6,78.3,99,89.0
2,68.7,62,40.0
3,77.6,54,35.0
8,87.8,65,55.0
6,78.6,69,60.0
3,70.4,64,45.0
7,77.3,84,76.0
4,80.7,55,38.0
9,87.2,78,73.0
5,71.3,87,72.0
3,71.9,84,68.0
2,61.4,53,27.0
2,58.3,56,33.0
3,68.1,51,28.0
2,68.8,68,46.0
4,75.8,71,52.0
2,76.1,95,72.0
9,92.5,63,58.0
2,66.5,91,69.0
9,89.6,52,54.0
6,83.4,95,85.0
1,66.0,59,33.0
4,68.7,54,33.0
1,57.8,95,67.0
6,74.7,92,80.0
4,63.5,43,25.0
3,71.7,93,76.0
3,65.1,73,53.0
9,86.8,67,63.0
6,90.1,89,75.0
9,88.9,41,38.0
5,71.9,96,79.0
2,68.6,86,63.0
8,86.1,69,60.0
5,82.0,65,49.0
2,60.2,90,66.0
4,79.8,86,71.0
9,92.5,65,66.0
4,76.9,59,41.0
4,81.8,81,67.0
2,60.5,67,46.0
6,83.5,95,86.0
2,67.5,59,37.0
7,83.8,50,42.0
3,73.1,97,77.0
3,71.5,49,32.0
5,74.9,62,47.0
3,65.8,76,54.0
2,62.9,80,60.0
9,93.5,91,89.0
2,62.8,58,34.0
2,62.8,84,59.0
8,89.4,57,52.0
9,95.0,88,84.0
7,82.6,66,57.0
3,69.7,45,30.0
9,93.2,49,47.0
3,67.8,41,15.0
5,76.4,63,49.0
9,85.4,77,74.0
3,72.5,67,45.0
7,71.9,67,61.0
1,74.4,92,67.0
4,81.5,84,64.0
4,70.1,89,73.0
7,84.8,78,68.0
8,88.1,41,33.0
1,63.2,85,60.0
5,74.7,44,30.0
7,86.7,89,82.0
4,75.3,50,33.0
4,72.2,49,28.0
4,76.8,82,64.0
6,76.6,98,88.0
7,90.6,41,35.0
2,67.9,54,30.0
5,64.0,78,60.0
4,79.2,80,66.0
3,65.6,76,52.0
7,78.3,46,39.0
6,80.5,59,45.0
7,83.9,73,64.0
5,82.3,74,66.0
6,79.3,73,61.0
5,79.6,92,76.0
7,75.4,61,49.0
2,57.5,70,43.0
5,70.9,62,45.0
6,78.7,58,49.0
6,82.3,43,27.0
5,82.1,63,50.0
7,87.2,59,52.0
8,84.3,78,72.0
7,80.9,67,62.0
5,77.4,93,80.0
1,68.5,78,53.0
5,82.8,56,42.0
2,73.0,58,37.0
5,74.9,93,77.0
5,76.1,87,73.0
2,66.0,74,46.0
5,77.1,71,54.0
4,69.0,86,70.0
1,64.5,85,60.0
3,63.9,86,67.0
1,65.2,85,58.0
5,75.7,78,63.0
4,66.0,96,83.0
7,79.6,74,64.0
5,69.3,69,57.0
4,71.2,56,45.0
2,67.2,81,61.0
4,71.4,86,68.0
2,73.6,68,45.0
8,91.1,45,39.0
3,69.1,99,77.0
9,92.7,56,55.0
4,74.9,56,38.0
6,78.8,53,40.0
5,74.2,63,49.0
1,60.0,96,74.0
9,88.7,89,86.0
1,62.3,96,72.0
8,89.1,76,72.0
9,86.8,79,77.0
9,89.6,78,76.0
1,64.7,94,67.0
2,74.6,71,52.0
1,54.4,75,52.0
2,52.6,89,67.0
8,91.1,76,66.0
5,84.8,87,74.0
7,90.9,53,40.0
2,69.0,66,44.0
8,90.2,98,97.0
6,83.0,58,48.0
8,87.6,70,65.0
1,60.9,85,57.0
1,63.2,48,19.0
7,82.6,77,68.0
8,95.5,56,48.0
3,66.2,58,34.0
5,76.8,83,67.0
1,64.9,43,15.0
7,79.7,87,83.0
5,72.9,96,83.0
8,88.2,50,46.0
8,84.5,61,57.0
9,86.6,43,42.0
7,80.3,56,51.0
1,71.7,47,24.0
3,73.9,85,64.0
8,91.6,98,94.0
3,64.0,73,50.0
8,83.2,50,41.0
1,70.8,70,45.0
5,76.8,50,37.0
4,70.8,95,75.0
5,79.6,93,80.0
8,83.2,95,94.0
4,73.7,77,62.0
4,66.9,92,73.0
3,76.5,60,43.0
7,88.0,85,78.0
3,67.8,69,51.0
3,67.6,49,24.0
5,79.0,65,46.0
5,80.6,66,51.0
6,83.6,47,35.0
8,88.0,78,75.0
6,82.1,47,38.0
1,61.0,99,79.0
8,90.2,47,42.0
8,89.3,94,89.0
9,92.2,73,66.0
9,93.5,98,100.0
2,70.9,55,34.0
2,71.9,80,59.0
3,66.7,52,28.0
1,59.8,62,39.0
4,76.3,51,36.0
4,76.8,66,52.0
9,97.5,61,57.0
9,90.1,71,66.0
9,90.3,96,95.0
7,87.2,88,79.0
2,66.8,66,42.0
5,76.2,41,23.0
4,63.7,84,67.0
8,87.8,72,64.0
2,60.2,65,43.0
6,75.7,67,56.0
5,73.4,58,43.0
2,69.2,82,55.0
1,72.7,44,16.0
8,84.9,72,65.0
2,68.1,59,38.0
7,83.5,69,57.0
9,82.7,84,83.0
9,90.3,47,47.0
8,85.9,77,71.0
9,97.0,56,56.0
2,61.8,83,57.0
6,74.8,40,23.0
4,70.8,42,27.0
4,72.8,85,65.0
5,79.0,65,54.0
3,64.6,70,50.0
1,62.8,47,23.0
8,84.8,82,77.0
5,86.6,98,83.0
3,71.2,85,66.0
7,80.2,47,38.0
7,84.0,74,65.0
1,60.1,78,54.0
9,87.8,67,65.0
2,61.2,90,68.0
5,74.0,43,31.0
5,76.4,96,83.0
8,87.2,55,49.0
8,80.1,52,45.0
7,77.6,59,46.0
7,83.1,90,85.0
6,75.1,44,33.0
6,77.8,94,83.0
9,95.6,76,71.0
6,87.4,59,49.0
2,62.7,63,39.0
2,62.0,75,51.0
5,77.3,73,57.0
4,77.8,97,81.0
2,64.8,84,65.0
3,75.0,87,66.0
7,82.7,93,86.0
8,84.9,73,66.0
6,86.3,58,50.0
5,78.4,56,46.0
1,63.7,44,20.0
8,83.4,64,58.0
3,63.9,57,38.0
6,76.6,99,91.0
3,69.8,94,77.0
7,87.4,92,83.0
7,74.6,89,79.0
9,82.8,47,50.0
5,77.7,66,51.0
8,91.8,54,49.0
8,88.9,84,79.0
1,59.1,52,26.0
5,78.8,55,42.0
3,72.8,61,42.0
1,62.4,59,35.0
4,71.4,52,31.0
8,81.4,59,50.0
3,61.2,41,18.0
2,63.4,74,50.0
9,91.1,86,82.0
5,81.7,94,78.0
7,85.7,58,53.0
2,57.9,84,65.0
9,92.0,76,76.0
9,85.0,97,94.0
4,70.7,93,79.0
4,80.0,45,27.0
6,78.9,53,43.0
6,80.6,43,30.0
1,65.7,61,37.0
9,96.5,90,90.0
2,67.3,94,68.0
5,78.6,78,64.0
9,86.4,75,73.0
4,70.3,73,53.0
3,71.2,66,46.0
7,82.1,46,37.0
6,85.3,42,29.0
8,93.5,86,80.0
3,70.3,72,52.0
5,77.4,41,29.0
4,78.8,81,70.0
4,73.6,55,40.0
4,83.5,64,49.0
8,82.4,99,92.0
6,83.3,54,46.0
3,72.2,63,42.0
5,81.7,54,41.0
6,82.2,70,60.0
5,71.7,53,41.0
6,82.2,93,83.0
8,86.9,53,43.0
7,73.9,45,36.0
5,82.9,53,38.0
6,79.6,56,47.0
4,69.8,57,40.0
9,88.2,59,59.0
4,79.0,90,76.0
1,60.2,56,31.0
7,80.8,55,44.0
7,88.9,79,71.0
4,68.7,78,59.0
3,74.5,91,69.0
8,80.8,71,63.0
5,72.9,99,87.0
7,81.7,83,77.0
4,69.7,48,31.0
4,69.8,66,47.0
8,97.1,85,78.0
8,87.8,91,86.0
2,64.9,72,48.0
2,66.7,49,24.0
3,68.8,56,39.0
3,73.1,88,71.0
1,62.8,88,60.0
3,75.0,75,54.0
6,84.1,56,45.0
8,90.6,57,51.0
6,72.4,91,78.0
5,83.5,62,48.0
4,79.9,73,59.0
3,64.8,47,28.0
4,68.0,52,35.0
7,86.9,62,55.0
1,59.2,96,69.0
7,80.4,93,87.0
1,71.3,59,32.0
2,70.9,61,37.0
4,72.8,86,66.0
1,63.1,91,66.0
9,92.8,62,56.0
6,83.3,80,70.0
1,57.5,74,48.0
1,70.1,42,17.0
6,84.8,73,59.0
4,69.9,72,56.0
4,68.3,85,66.0
6,83.6,56,41.0
7,86.3,84,76.0
9,89.6,58,54.0
5,73.5,69,57.0
9,92.1,62,62.0
4,74.7,54,38.0
2,67.2,98,73.0
3,66.2,96,72.0
1,65.5,53,28.0
6,73.8,41,28.0
6,83.7,78,67.0
1,68.7,88,62.0
3,69.0,57,36.0
5,79.8,45,33.0
3,62.5,98,74.0
3,79.9,71,52.0
3,67.5,60,38.0
5,70.1,79,62.0
5,73.2,67,50.0
4,77.8,66,48.0
1,63.3,41,15.0
5,71.3,72,51.0
5,86.2,55,37.0
4,72.9,78,59.0
6,80.5,61,46.0
4,70.1,95,78.0
7,89.4,82,74.0
7,89.9,86,78.0
2,61.5,52,27.0
3,67.2,95,74.0
1,67.8,41,15.0
8,85.2,53,46.0
9,88.4,95,90.0
4,74.3,77,58.0
6,71.8,80,65.0
9,97.0,67,65.0
6,85.2,46,36.0
9,89.7,57,52.0
4,76.0,95,79.0
8,81.3,80,74.0
9,90.3,94,93.0
4,72.7,75,57.0
5,76.9,80,65.0
8,86.3,75,69.0
6,78.4,83,71.0
7,77.3,43,31.0
3,68.4,96,78.0
7,89.3,69,60.0
8,81.6,63,58.0
6,82.6,59,46.0
9,93.1,85,87.0
6,79.8,95,81.0
9,85.2,70,69.0
4,76.4,63,46.0
8,78.7,46,41.0
4,72.5,65,50.0
2,67.5,52,24.0
9,94.0,93,97.0
5,79.8,47,35.0
4,69.9,94,82.0
2,74.8,44,24.0
1,69.1,83,59.0
7,85.7,52,42.0
6,76.4,68,56.0
2,59.2,59,30.0
8,87.0,53,49.0
4,75.5,71,56.0
8,89.6,99,98.0
7,88.1,89,79.0
5,83.6,66,54.0
8,83.8,95,93.0
9,97.0,64,63.0
5,73.1,91,76.0
5,70.5,43,27.0
2,62.4,60,35.0
5,86.5,57,39.0
3,78.8,78,59.0
7,81.3,54,50.0
5,73.3,92,77.0
8,83.3,77,70.0
1,66.6,87,62.0
3,69.6,91,71.0
3,72.6,63,39.0
9,87.9,47,41.0
5,79.8,67,51.0
9,87.0,60,52.0
9,90.7,55,49.0
1,63.1,99,76.0
2,64.3,93,71.0
5,73.3,55,42.0
4,70.6,74,60.0
9,95.2,56,53.0
7,81.8,48,40.0
6,86.4,96,85.0
7,91.1,74,70.0
1,59.4,91,63.0
1,63.7,68,42.0
8,87.3,78,73.0
2,63.8,57,35.0
